_id,days,destinations,imageLink,nights,price,titleLink,titleText
64142462f09e1d8dbe995b62,4,Manali (4N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438071942/Shimla_91.jpg,5,4999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1791-37527&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Mesmerising Manali With Atal Tunnel
64142462f09e1d8dbe995b63,4,Delhi (1N) - Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1461309470/Hampta_Pass4.jpg,5,8599,https://packages.yatra.com/holidays/dom/details.htm?packageId=2315650564&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,"Apple Bud Hotel, Manali - Volvo Package"
64142462f09e1d8dbe995b64,4,Dehradun (4N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v7442893352/MarketPlaceHolidays/India/Uttarakhand/Dehradun/kedarkantha_4__7WHipx.jpg,5,4999,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1560-37089&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Kedarkantha Trek Uttarakhand
64142462f09e1d8dbe995b65,4,Delhi (1N) - Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1438851617/Manali_DSC_4465.jpg,5,8999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2516409162&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,The AshaPuri Residency Manali - Volvo Package
64142462f09e1d8dbe995b66,5,Manali (5N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1440397595/DSC_1171-Snowfall-Christ_Church-Shimla.jpg,6,5499,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1791-37242&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Graceful Manali
64142462f09e1d8dbe995b67,4,Delhi (1N) - Agra (1N) - Jaipur (2N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1396180059/Domestic%20Holidays/Rajasthan/Jaipur/shutterstock_93873448.jpg,5,15999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2547306062&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,4 Nights - Golden Triangle
64142462f09e1d8dbe995b68,3,Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1441268144/Manali_town_103.jpg,4,5650,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-145-946&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Misty Manali
64142462f09e1d8dbe995b69,5,Leh (2N) - Nubra (1N) - Pangong (1N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1527082217/Pangong_Tso_1527080934.jpg,6,18999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2165190941&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Amazing Ladakh With Nubra and Pangong (Group Tour)
64142462f09e1d8dbe995b6a,3,Manali (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1459507877/Manali-Solang_Valley2.jpg,4,5750,https://packages.yatra.com/holidays/dom/details.htm?packageId=MPP-1433-22078&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,Snow Covered Manali Holiday Tour
64142462f09e1d8dbe995b6b,4,Srinagar (1N) - Srinagar (3N),https://imgcld.yatra.com/ytimages/image/upload/t_holidays_srplist_desktop_hc/v1474548050/Srinagar_Activities_to_do_Visit_Nagin_Lake.jpg,5,19999,https://packages.yatra.com/holidays/dom/details.htm?packageId=2606756232&parentPageId=eb9eabf9-4a9c-442e-96b0-5e67c4e752f1,04 Nights in Kashmir - Standard - Summer Special
